N.º;País (o territorio dependiente);Población estimada por la ONU para mediados del año  1950;% del total mundial;#;País;Índice de Desarrollo Humano[10]​[1]​;Índice de Desarrollo Humano[10]​[1]​.1;Índice de Desarrollo Humano[10]​[1]​.2;Índice de Desarrollo Humano[10]​[1]​.3;Índice de Desarrollo Humano[10]​[1]​.4;Índice de Desarrollo Humano[10]​[1]​.5;Índice de Desarrollo Humano[10]​[1]​.6
79;Siria;3 544 000;14.0;162°;Siria;0564;0571;0570;0549;0669;0594;0007
107;Somalia;2 213 000;9.0;192°;Somalia;0404;0385;N / D;N / D;N / D;N / D;0016
44;Sri Lanka;7 946 000;32.0;89°;Sri Lanka;0776;0777;0780;0769;0748;0702;0001
160;Suazilandia (o Esuatini);272 000;1.0;;;;;;;;;
31;Sudáfrica;13 044 000;52.0;106°;Sudáfrica;0741;0737;0724;0720;0669;0633;0004
57;Sudán;6 191 000;25.0;176°;Sudán;0511;0516;0513;0498;0479;N / D;0005
99;Sudán del Sur;2 492 000;10.0;193°;Sudán del Sur;0388;0388;0398;0317;0420;N / D;0000
52;Suecia;7 015 000;28.0;5°;Suecia;0959;0959;0951;0945;0918;0912;0000
69;Suiza;4 693 000;19.0;2°;Suiza;0970;0966;0963;0957;0945;0892;0004
167;Surinam;196 000;1.0;114°;Surinam;0722;0719;0714;0718;0707;0679;0003
22;Tailandia;20 412 000;82.0;76°;Tailandia;0798;0792;0798;0788;0742;0657;0006
48;Tanzania;7 632 000;31.0;165°;Tanzania;0555;0554;0554;0520;0513;0414;0001
118;Tayikistán;1 526 000;6.0;128°;Tayikistán;0691;0687;0664;0658;0639;0554;0004
153;Timor Oriental;415 000;2.0;142°;Timor Oriental;0634;0633;0650;0628;0645;0507;0001
123;Togo;1 399 000;6.0;161°;Togo;0571;0567;0554;0523;0483;0448;0005
235;Tokelau (NZ);2 000;0.0;;;;;;;;;
193;Tonga;50 000;0.0;92°;Tonga;0769;0764;0765;0743;0724;0688;0001
143;Trinidad y Tobago;649 000;3.0;72°;Trinidad y Tobago;0807;0805;0800;0808;0789;0714;0002
130;Turkmenistán;1 214 000;5.0;95°;Turkmenistán;0764;0761;0744;0725;0700;0653;0003
21;Turquía;20 978 000;84.0;51°;Turquía;0853;0853;0838;0821;0750;0669;0000
228;Tuvalu;5 000;0.0;129°;Tuvalu;0689;0686;0681;0658;0636;0610;0003
78;Túnez;3 606 000;14.0;105°;Túnez;0746;0745;0733;0728;0717;0654;0001
14;Ucrania;37 303 000;149.0;87°;Ucrania;0779;0772;0783;0778;0782;0716;0007
63;Uganda;5 751 000;23.0;157°;Uganda;0582;0578;0571;0547;0514;0407;0004
105;Uruguay;2 234 000;9.0;48°;Uruguay;0862;0852;0837;0818;0796;0764;0010
56;Uzbekistán;6 248 000;25.0;107°;Uzbekistán;0740;0737;0723;0707;0681;0618;0003
191;Vanuatu;52 000;0.0;146°;Vanuatu;0621;0621;0617;0599;0582;0561;0000
65;Venezuela;5 489 000;22.0;121°;Venezuela;0709;0706;0699;0768;0764;0703;0003
18;Vietnam;25 109 000;100.0;93°;Vietnam;0766;0764;0755;0717;0686;0604;0002
218;Wallis y Futuna (Francia);9 000;0.0;;;;;;;;;
67;Yemen;4 713 000;19.0;184°;Yemen;0470;0466;0459;0475;0502;0439;0004
185;Yibuti;62 000;0.0;175°;Yibuti;0513;0510;0499;0469;0421;0337;0003
102;Zambia;2 318 000;9.0;154°;Zambia;0595;0589;0569;0565;0533;0429;0006
92;Zimbabue;2 791 000;11.0;;;;;;;;;
;;;;153°;Zimbabwe;0598;0594;0582;0567;0512;0458;0004
